Id,Name,dn,ds,Repro
0,S2,9,44,S
10,,0,0,
11,,0,0,
12,A7,2,13,A
13,A10,4,3,A
14,A11,4,8,A
15,,0,7,
16,S6,1,7,S
17,A8,5,10,A
18,A9,1,5,A
19,S7,5,17,S
1,S4,3,22,S
20,,0,0,
21,,0,0,
22,,0,4,
23,,0,0,
24,,3,13,
25,A12,5,13,A
26,S8,0,4,S
27,S9,0,0,S
28,S10,0,0,S
29,,0,0,
2,A5,11,21,A
3,,0,0,
30,,5,12,
31,,0,2,
32,S12,3,11,S
33,S11,4,6,S
34,,0,0,
35,,3,13,
36,A13,9,5,A
37,S13,3,6,S
38,,3,9,
39,A14,7,22,A
40,S14,5,15,S
41,,0,2,
42,,0,0,
43,,0,0,
44,,0,0,
45,,2,24,
46,S1,2,18,S
47,A1,5,3,A
48,A2,3,2,A
49,A3,1,1,A
4,A6,5,12,A
50,,0,0,
51,,6,14,
52,,10,57,
53,,NA,NA,
5,S5,10,20,S
6,,0,3,
7,,0,9,
8,S3,5,21,S
9,A4,11,24,A
